date,no.24,no.64,no.77,no.32,no.39,no.31,no.13,no.5,no.2,no.66,match
2022/8/7,1,0.65,1.5,0.833333333,0,0,0,0,0.75,0,1
2022/8/10,0.583333333,0,0.333333333,0.666666667,0,0.5,0,0,0,0,0
2022/8/11,0.833333333,0,1,0,0,1,0,0,0.666666667,0.666666667,0
2022/8/12,1.25,0,0,0,0,0,0,0,0.45,0.8,1
2022/8/13,0.4,2,2,0.333333333,0,0,0,0,0.5,0.666666667,0
2022/8/16,0.666666667,0.666666667,0,1.666666667,0,0,0,0,0,0.5,0
2022/8/18,0.833333333,0,0,0,0.333333333,0,0,0,0.833333333,0,0
2022/8/19,1.5,1.25,0,0,0,0,0,0,0.5,0,1
2022/8/20,0,1,0,0,0,2,0,0,0.25,0,1
2022/8/21,0.25,0,0,0,0,0,0,0,0,0,0
2022/8/23,0,0,0,0,0,0,0,0,0.5,0,1
2022/8/24,0,0.5,0.666666667,0,0,0,0,0,1.75,0,0
2022/8/26,0,0.666666667,0,0,0.666666667,0,0,0,1.166666667,0,0
2022/8/27,0,0.4,0.25,0,0,1,0,0,0,0,1
2022/8/31,0,1,1.25,0,0,1,0,0,0.2,2,1
2022/9/1,0,0,0.333333333,0,0,0,0,0,0,0,0
2022/9/2,0,0,0,0,0,1,0,0,0,0,0
2022/9/6,1,0,0.833333333,0,0,0,1.333333333,0,0,0,0
2022/9/7,0.583333333,0.5,0,0,0,0,0.666666667,2,0.5,0,0
2022/9/8,0.65,0,0.75,0,0,1.5,0.833333333,0.5,0.9,1,1
2022/9/10,0.2,2,2.266666667,0,0,1.166666667,0.5,0,0.666666667,0.5,0
2022/9/11,0.2,0.666666667,0.8,0,0,0.833333333,1.666666667,1.75,0.5,0,1
2022/9/13,0.75,0.5,1.75,0,0,0,0.666666667,2.5,0.333333333,0,1
2022/9/14,0.5,0,0.5,0,3,0.833333333,0.333333333,2.75,0,0,1
2022/9/15,1.1,0.5,0,0,0,0,1.166666667,2.333333333,0,2,1
2022/9/16,1,0.833333333,0,0,0,0,0.666666667,1,0,0,0
2022/9/18,0,1,0,0,0,0,0,0,1.25,0,0
2022/9/20,0.933333333,0.666666667,0,0,0,0.5,0,0,0,0,0
2022/9/22,1,0.5,0,0,0,0,0,0,0,0,0
2022/9/23,0.25,0.333333333,0,0,0,0,0,1,0,0,1
2022/9/24,0.5,0,0,0,0.666666667,0.666666667,0,0,0,0,0
2022/9/25,0.2,0.333333333,0,0,1.166666667,0.333333333,0,0.25,0,0,0
2022/9/27,1,0,0,0,0.5,0,0,0,1,0.25,0
2022/9/29,1.1,0,0.8,0,0,1.25,0,0.833333333,0,1.25,0
2022/9/30,0.4,0,0,0,0.5,0,0,0,0,0,0
2022/10/1,0.833333333,0,1.25,0,0.666666667,0,0,0.5,0,0,0
2022/10/2,1.35,0.25,1.166666667,0,0,0,0,0.4,0,1.25,1
2022/10/4,0.833333333,0.5,0,0,0,2,0,0,0.666666667,0,0
2022/10/5,0,0.5,0,0,2,0,0,1,0,0.5,0
2022/10/6,1.2,0,0.6,0,1.35,0,0,0,2,0,0
2022/10/7,0.666666667,0.5,0.2,0,1.666666667,0.666666667,0,0,0,0,0
2022/10/9,0.5,0,0.5,0,0,0,0,0,0,2,0
2022/10/11,0.9,0.833333333,0.65,0,1.666666667,0,0,0,0,0,0
2022/10/12,1,0.25,0.833333333,0,0,0,0,0,0,1,0
2022/10/15,0.65,0.25,1.4,0,0,0,0,0,0,1,1
2022/10/16,0,0,1.25,0,0,0,0,0,0,0.5,0
2022/10/19,2.2,0.25,1.75,0,0,0,0,0.4,0,0,1
2022/10/20,0.5,0,0.666666667,0,0,0,0,1,0,1,0
2022/10/21,0.833333333,1.75,0,0,0,0,0,1.25,0,0,0
2022/10/23,0.25,0.5,0,0,0,0,0,0,0,0,0
2022/10/25,0.533333333,1.633333333,0,0,0,0,0,0.666666667,0,0,0
2022/10/26,0,0.5,0,0,0,0,0,0,0,0,0
